brand,model_name
FORD,"['EXPLORER' 'C_MAX' 'F_150' 'ESCORT' 'MUSTANG' 'TAUNUS' 'SIERRA' 'KA'
 'FOCUS' 'MODEL_T' 'MODEL_A' 'ESCAPE' 'COUGAR' 'CUSTOM' 'FOCUS_ST'
 'THUNDERBIRD' 'MONDEO' 'CONTOUR' 'FIESTA' 'TAURUS' 'FUSION' 'FUSION_NA'
 'GALAXY' 'GRANADA' 'RANGER_NA' 'KUGA' 'FOCUS_NA' 'MAVERICK'
 'TOURNEO_CONNECT' 'RANGER' 'CROWN_VICTORIA' 'ZEPHYR' 'SCORPIO' 'EDGE'
 'PUMA' 'ECOSPORT' 'EXPEDITION' 'S_MAX' 'V8' 'FREDA' 'BRONCO_II'
 'ECONOLINE' 'BRONCO' 'TOURNEO_CUSTOM' 'EXCURSION' 'AEROSTAR' 'WINDSTAR'
 'EXPLORER_SPORT_TRAC' 'LASER']"
GAC,['GS8']
GAZ,"['M_72' '24' '31029' '31105' '69' '13' '67' '2330_TIGR' '14' '21' '3110'
 '3102' 'VOLGA_SIBER' '22' 'M_20']"
GEELY,"['SC7' 'MK' 'ATLAS' 'EMGRAND_X7' 'EMGRAND_7' 'VISION' 'EMGRAND_GT'
 'EMGRAND' 'GC6' 'CK']"
GENESIS,['G70' 'G90']
GMC,['ENVOY' 'YUKON' 'SAVANA' 'SIERRA' 'VANDURA' 'SUBURBAN' 'JIMMY']
GREAT_WALL,"['FLORID' 'WINGLE_UP' 'DEER' 'SAILOR' 'HOVERH6' 'SAFE' 'SOCOOL' 'COWRY'
 'HOVER_M2' 'HOVER_2005' 'HOVERH3' 'PERI' 'HOVERH5']"
HAFEI,['BRIO' 'PRINCIP']
HAIMA,['M3' '3' '7']
HAVAL,['H9' 'F7' 'H2' 'H6']
HAWTAI,['BOLIGER' 'LAVILLE']
HEINKEL,['TYP_154']
HONDA,"['JAZZ' 'LEGEND' 'ZEST' 'ACCORD' 'INTEGRA' 'INSPIRE' 'N_ONE' 'PILOT'
 'N_BOX' 'STREAM' 'CIVIC' 'CR_V' 'TORNEO' 'ODYSSEY' 'S2000' 'FIT'
 'AVANCIER' 'ODYSSEY_NA' 'DOMANI' 'PRELUDE' 'N_WGN' 'CROSSROAD'
 'CIVIC_TYPE_R' 'VEZEL' 'STEPWAGON' 'ORTHIA' 'SABER' 'MOBILIO' 'HR_V'
 'CROSSTOUR' 'SHUTTLE' 'CIVIC_FERIO' 'ELEMENT' 'CAPA' 'PARTNER' 'ACTY'
 'CR_X' 'AIRWAVE' 'MOBILIO_SPIKE' 'EDIX' 'CONCERTO' 'LOGO' 'BEAT' 'ASCOT'
 'FREED' 'FR_V' 'INSIGHT' 'CR_Z' 'VAMOS' 'FCX_CLARITY']"
HUANGHAI,['ANTELOPE']
HUMMER,['H2' 'H1' 'H3']
HYUNDAI,"['SANTA_FE' 'I40' 'SOLARIS' 'GETZ' 'EQUUS' 'ELANTRA' 'GALLOPER' 'GRANDEUR'
 'ACCENT' 'TIBURON' 'TUCSON' 'LANTRA' 'GENESIS_COUPE' 'I30' 'H_1_STAREX'
 'GRAND_STAREX' 'TRAJET' 'MATRIX' 'I20' 'SONATA' 'I30_N' 'STAREX'
 'TERRACAN' 'VELOSTER' 'VERACRUZ' 'VERNA' 'IX55' 'IX35' 'COUPE' 'ATOS'
 'GENESIS' 'I10' 'XG' 'CRETA' 'SANTAMO' 'LAVITA' 'AVANTE']"
IG,['21261_FABULA' '2125' '2126' '412']
INFINITI,"['FX' 'Q70' 'QX80' 'Q30' 'QX56' 'QX30' 'Q50' 'Q' 'QX4' 'QX50' 'M' 'I'
 'QX70' 'G35' 'Q60' 'QX60' 'JX' 'EX']"
IRAN_KHODRO,['SAMAND']
ISUZU,['GEMINI' 'AXIOM' 'VEHI_CROSS' 'D_MAX' 'BIGHORN' 'RODEO' 'TROOPER' 'FARGO']
JAC,['S_3' 'S1_REIN' 'S5']
JAGUAR,"['F_TYPE' 'X_TYPE' 'XJ' 'XF' 'XFR' 'XKR' 'S_TYPE' 'XK' 'XE' 'E_PACE' 'XJR'
 'F_PACE']"
JEEP,"['GRAND_CHEROKEE' 'COMPASS' 'PATRIOT' 'GRAND_WAGONEER' 'CHEROKEE'
 'LIBETY_NA' 'WRANGLER' 'RENEGADE']"
